No,Project Name,URL,Author/Team,Likes,Bookmarks,Accessible,Status,Description,IsWinner,AwardName,AwardComment,IsFinalPitch
31,"餃輪 (GeoCycle) — ""餃⼦ × サイクリング"" で Smart City Smart Body を実現する",https://zenn.dev/kc7525/articles/e1d8129cbfb275,チーム: Team Land Lady,5,2,True,200,"餃輪 (GeoCycle) — “餃⼦ × サイクリング” で Smart City, Smart Body を実現する",False,,,False
32,Michishiru,https://zenn.dev/wooloo/articles/f577f9a978adc5,個人,3,1,True,200,Michishiru - 災害時にあなたを「導く」AI防災支援,False,,,False
33,予定が含まれたSlackの投稿にスタンプを押すだけでGoogleカレンダーに登録できるURLを生成してくれるBot,https://zenn.dev/matsu/articles/cc0e726c848d45,個人,4,1,True,200,予定が含まれたSlackの投稿に、スタンプを押すだけでGoogleカレンダーに登録できるURLを生成してくれるBot,False,,,False
34,Tech Post Cast,https://zenn.dev/sumihiro3/articles/66643cce7dcb60,個人,8,1,True,200,Tech Post Cast — AIが届ける、あなただけのテックラジオ番組,False,,,False
35,KnockAI,https://zenn.dev/enostech/articles/8a4a3f2589afd7,チーム: KnockAI,12,3,True,200,"KnockAI: 職人の見積もり""暗黙知""を継承するAIエージェント - Google Cloudで実現する製造業DX",True,🏅 Moonshot賞,日本の製造業が直面する技能継承という課題に対し、「暗黙知」をAIで継承するという着眼点が素晴らしいです。現場の方へのヒアリングを基に見積もりプロセスを具体的なステップへ分解できているため、AIの使い所と人間との協業が明確になっており、実践的なアプローチだと高く評価できます。Vertex AI等を活用した実装力も見事ですが、特に継続開発を見据えたアーキテクチャは特筆すべき点です。Firestoreを介したADKとの協調は、シンプルながら様々なケースで応用可能な構成だと感じました。今後は、実際に現場の方が触ってみたフィードバックを得られると、さらに価値あるものになると感じます。このプラットフォームが日本の様々な産業で「暗黙知の形式知化」を推進し、持続可能な技能継承の新しいモデルとなることを期待しています。技術の力で伝統を未来につなぐ、まさにMoonshot賞にふさわしいプロジェクトです。,True
36,Maisoku AI,https://zenn.dev/aisumairu/articles/c165c83e15d19d,個人,6,1,True,200,【AI Agent Hackathon】Maisoku AI - AI技術で住まい選びサポート,False,,,False
37,Lecturia,https://zenn.dev/neka_nat/articles/4930d5d90c7d38,個人,24,5,True,200,"""学び方から自分流"" - AIで講義を創る勉強アプリを作ったよ[第2回 AI Agent Hackathon]",False,,,False
38,Infumatch,https://zenn.dev/hmdai/articles/60975c0a81485b,個人,,,False,HTTP 403,インフルエンサーとのタイアップ交渉をAIエージェントが自動化〜Infomatch〜,False,,,False
39,WhiteboardLM,https://zenn.dev/gerusuraimu/articles/2b7b21f646d857,個人,,,False,HTTP 403,Vertex AIで構築したRAGをDiscordやSlackから利用する,False,,,False
40,「あついよ」熱中症みまもりAI,https://zenn.dev/atsuiyo_aiagent/articles/e6b97302b79a1a,チーム: Teamあついよ＠AI木曜会,23,9,True,200,-言えない暑さを、見える声に-「あついよ」熱中症みまもりAI,False,,,False
41,Smart Check Sheet,https://zenn.dev/sotky/articles/13c7b06d53b558,個人,6,1,True,200,Smart Check Sheet -チェックシートで現場の勘をナレッジに-【AI Agent Hackathon】,False,,,False
42,気分屋の芝日記,https://zenn.dev/matcha22/articles/3a23140ec1ed38,個人,6,2,True,200,音声入力 × AI感情分析 × カラーパレット日記アプリ【第2回 AI Agent Hackathon with Google Cloud】,False,,,False
43,WellFin,https://zenn.dev/500ban/articles/2233b7870362cf,個人,5,1,True,200,【第2回 AI Agent Hackathon 提出物】習慣形成が苦手です,False,,,False
44,YouTube × Gemma 学習支援アプリ,https://zenn.dev/yuki731/articles/2349ad4d828a77,チーム: Youdemy,6,1,True,200,YouTube × Gemma 学習支援アプリ (第2回 AI Agent Hackathon with Google Cloud),False,,,False
45,AIary,https://zenn.dev/tamaloon/articles/7d70da09a7a0a4,チーム: AIary,6,1,True,200,AIとつくる日記 「AIary」,False,,,False
46,KnowledgePaper,https://zenn.dev/asap/articles/65740c3b110cc8,個人,69,22,True,200,あなたの論文調査ライフに彩りを！【KnowledgePaper】,False,,,False
47,nanimonjya,https://zenn.dev/toripy/articles/29dfdbd787c866,個人,6,3,True,200,AIエージェントとFirestoreで実現する、新しい「ナンジャモンジャ風」オンライン対戦ゲーム　nanimonjya,False,,,False
48,SUM-AI Navigator,https://zenn.dev/kdoai/articles/3f2a890966fd9f,個人,,,False,HTTP 403,地方創生の新たな希望：AI駆動型移住支援プラットフォーム「SUM-AI Navigator」で見つける最適な暮らし,False,,,False
49,防災コンシェルジュ - Sonael(ソナエル),https://zenn.dev/aya_u/articles/3de0b28619b486,個人,8,1,True,200,ファクト × しんぱいで動く防災コンシェルジュ - Sonael(ソナエル) | 第2回 AI Agent Hackathonに挑戦！,False,,,False
50,"MimiTalk — ""よく聴くウサギ"" が見守る 認知症リスク早期検知エージェント",https://zenn.dev/kc7525/articles/aff930654102ea,チーム: En-Dolphin,8,3,True,200,MimiTalk — “よく聴くウサギ” が見守る 認知症リスク早期検知エージェント,False,,,False
51,マインドソート,https://zenn.dev/yatayata/articles/bd81528c760b1e,チーム: 寝ても覚めてもご自愛,6,0,True,200,スワイプするだけで思考を整理 「マインドソート」【AI Agent Hackathon】,False,,,False
52,WorkLoop,https://zenn.dev/fujidd/articles/2cd806452fcce1,チーム: チームDD改,2,0,True,200,【WorkLoop】戦略から実行、そして成長へ。WorkLoopで仕事を設計せよ。,False,,,False
53,ココロン,https://zenn.dev/mugi007/articles/6e9427f2ba32bb,個人,3,0,True,200,すれ違う「大丈夫」。精神疾患を持つ人と支える人のためのアプリ『ココロン』,False,,,False
54,ミライフ,https://zenn.dev/yui/articles/b4b70159111b0c,チーム: Hello Hack,10,0,True,200,準備をもっとスマートに！未来に寄り添うAIエージェント：「ミライフ」,False,,,False
55,Session MUSE,https://zenn.dev/xxkuboxx/articles/51c82805edac7b,チーム: Session MUSE,14,0,True,200,もう、曲作りで孤独じゃない。AIパートナー「Session MUSE」と創る音楽【AI Agent Hackathon】,False,,,False
56,AI Climbing Tokyo,https://zenn.dev/climbing_hassan/articles/92e539d7713160,個人,9,1,True,200,AI Climbing Tokyo — ボルダリング落下解析で次トライのヒントを生成【第2回 AI Agent Hackathon】,False,,,False
57,自分エージェント,https://zenn.dev/uragasumi25/articles/260403a5714768,個人,2,1,True,200,(第2回AI Agent Hakkathon) 自分エージェント,False,,,False
58,CraftMate AI,https://zenn.dev/sagara22/articles/535c03c31416e7,チーム: CraftMate AI,13,7,True,200,CraftMate AI ― DIYの設計をサポートするAI,True,🏅 Flutter賞,「CraftMate AI」はDIY初心者に寄り添ったアプリです。家具部品の色分け、3Dモデル表示・回転、必要な工具の提案など「これだけの機能があれば、私にもDIYで家具が作れそう...！」と思える作品でした。3Dモデルの部品ごとのカラーが、部品一覧のカラーと一致している点は、全体像の把握と各部品の役割を直感的に把握することに役立ちます。工程ごとの3Dモデルが見られる点も親切です。手戻りが発生しづらい体験ではないかと思います。この度は「CraftMate AI」にFlutter賞を進呈します。Webの3D技術をFlutterアプリケーションの中に組み込み、このアプリケーションを完成させた点を評価致しました。Flutter GPUなどの技術はありながらも、生成AIでモデルデータが出力可能な方式を選択した合理的な判断であり、こういったWeb技術との融合もFlutterの可能性の一つであると感じます。,True
