No,Project Name,URL,Author/Team,Likes,Bookmarks,Accessible,Status,Description,IsWinner,AwardName,AwardComment,IsFinalPitch
116,プロジェクト横断の知識吸収と多角的思考を支援するAIアシスタントの開発,https://zenn.dev/ponpy/articles/10fc5144296446,チーム: SynapseX,3,1,True,200,プロジェクト横断の知識吸収と多角的思考を支援するAIアシスタントの開発,False,,,False
117,Cocoro.Agent（ココロ・エージェント）,https://zenn.dev/takukuku/articles/5d146a68ee25cb,チーム: ミマモルンズ,2,1,True,200,Cocoro.Agent: AIで育児に“寄り添い”を届ける家庭用エージェントの挑戦,False,,,False
118,RoomCare: AI,https://zenn.dev/atworks_np/articles/d6104ad63da017,個人,9,0,True,200,RoomCare AI: 住まいの「散らかり」とメンタルを同時にケアする【第二回AIハッカソン】,False,,,False
119,Kanzy,https://zenn.dev/motsuo/articles/bfbbd82d70e796,チーム: Kanzy作るニキネキ,10,0,True,200,“今日誰かと遊びたい”を提案するAI-agent搭載の暇共有SNSを作ってみた,False,,,False
120,Cheers Planner,https://zenn.dev/hata_hata/articles/0d07bb77b1b7b1,チーム: Cheers Planner,5,0,True,200,Cheers Planner,False,,,False
121,Your Horror Novel,https://zenn.dev/y_gorilla/articles/ec7a5d794ec86b,個人,3,0,True,200,🎭 あなただけの恐怖を紡ぐ - AIホラー小説共創アプリ,False,,,False
122,Bear Horizon くまの気持ちで英単語を学習,https://zenn.dev/michan74/articles/36ef1b41d64590,個人,12,0,True,200,Bear Horizon くまの気持ちで英単語を学習【第2回 AI Agent Hackathon】,False,,,False
123,project ECHO,https://zenn.dev/kitamu_lucky/articles/0baf2045d6ced0,チーム: TEAM ECHO,5,0,True,200,従業員個人と会社の信頼を繋ぐ新しいコミュニケーションAI「ECHO」,False,,,False
124,Importion,https://zenn.dev/bannzai/articles/3f5c9dbad0d381,個人,7,0,True,200,Webページを好きなNotionデータベースへ保存できるモバイルアプリ Importion を作成しました,False,,,False
125,AI Agent based Analyst,https://zenn.dev/kiyono_nomura/articles/d22d8d4dfc1eeb,チーム: 株式会社KIYONO,3,0,True,200,データサイエンティスト撲滅！データ分析エージェントの開発,False,,,False
126,チョットマッタAI,https://zenn.dev/tamyu/articles/440703aa87110f,チーム: まじんこ,2,0,True,200,チョットマッタAI ~AIが見守る安全なコミュニケーション~,False,,,False
127,Turtle Soup,https://zenn.dev/armond/articles/15648b77bfa1d6,個人,11,0,True,200,Turtle Soup AI：英語の質問力を鍛えるウミガメのスープ【第2回 AI Agent Hackathon】,False,,,False
128,TalkOne,https://zenn.dev/yuuu1230/articles/cd90960b481966,チーム: Stargazer,7,1,True,200,【ゲーム感覚で会話力向上 !】 TalkOne : AI ともマッチングする匿名通話アプリ,False,,,False
129,AI栄養管理アプリDietitian,https://zenn.dev/gurekamu17/articles/b27a60bd5f2bc6,チーム: なんでもええよう,6,0,True,200,AI栄養管理アプリ Dietitian【AI Agent Hackathon with Google Cloud】,False,,,False
130,AppointmentAI,https://zenn.dev/kiriko_tech/articles/f1da526fffd8c7,個人,4,0,True,200,AppointmentAIで実現する営業・商談DX ─ “アポ準備の自動化”による現場革新,False,,,False
131,部活動支援エージェント AI Kommon,https://zenn.dev/delzaky/articles/8feac8cfbac845,チーム: AI Kommon,11,2,True,200,「AI時代の部活動は誰も取り残さない!」部活動支援エージェント AI Kommon,False,,,False
132,Alco Guardian,https://zenn.dev/satory074/articles/e0044b5c0222eb,チーム: Alco Guardian,6,1,True,200,alco guardian: エージェントが協調し「飲み過ぎ」と向き合う新しい飲酒体験,False,,,False
133,きっずフードアドバイザー,https://zenn.dev/resqnet/articles/2fe887810da9d4,チーム: ゼクノヴァで4月頃に戻りたい,4,0,True,200,幼児食の悩みにAI栄養士がこたえてくれるやつ作ってみた,False,,,False
134,ミーム論文,https://zenn.dev/charokoukuu/articles/1f5b7a5befc228,個人,6,4,True,200,あなたの「くだらない」を、権威ある「論文」に。AI論文ジェネレータ「ミーム論文」作ったので、裏側を全てお見せします,False,,,False
135,RhymeFlow：ラップバトルAIエージェントで即興バトルに挑む！,https://zenn.dev/kenue/articles/f29df9402b6cc3,チーム: ハック・ライム,2,0,True,200,ラップバトルAIエージェント「RhymeFlow」で即興バトルに挑む！,False,,,False
136,KaraMateAI,https://zenn.dev/equal_nao/articles/5bc9b8beb7950a,個人,7,0,True,200,KaraMateAI：カラオケのお供にパーソナルエージェント​​​​​​​​を。【AI Agent Hackathon】,False,,,False
137,Vibe Planning,https://zenn.dev/huku/articles/e1addc5cf3837c,チーム: Vibe Coders,28,8,True,200,Vibe Planning,True,3位,本プロジェクトは、生成AIモデルの活用だけでなく、Web検索・ルート検索・RAGなど多くの技術手法が統合されており、仕様と実装の厚みは随一であったと思います。また、旅行プランニングをコンセプトにしたプロジェクトは非常に多かったですが、その中でもマッチングの精度評価やパフォーマンスの工夫と効果が計測されており、定量指標にもとづいて改善を重ねたことが伺えた点も高く評価しました。総合的に、単なるAIモデルのAPIラッパーに留まらない、AIエージェントと呼ぶにふさわしい製品だと感じました。,True
138,GenieUs,https://zenn.dev/tnoce/articles/bf4531c0ad8e32,個人,6,0,True,200,【第2回AI Agent Hackathon】Google Cloudで創る、子育ての“見えない頑張り”に光をあてるマルチエージェント,False,,,False
139,マッチ売りの電卓,https://zenn.dev/rabbitprogram/articles/6f27a2ea2d0755,個人,4,0,True,200,マッチ売りの電卓【 お金の感覚を見える化するアプリ 】,False,,,False
140,AI英単語学習アプリ「Ai単 ~ Eitan ~」,https://zenn.dev/yoh_siba/articles/ff8ec3719be335,チーム: ゲコゲコ戦隊サンケンジャー,7,0,True,200,【第2回 AI Agent Hackathon】AI英単語学習アプリ「Ai単 ~ Eitan ~」で変わる語学学習体験,False,,,False
141,Elevia,https://zenn.dev/mrmtsntr/articles/d700c483bfeed2,個人,,,False,HTTP 403,ムーンショットな OKR 達成を支援するサービス「Elevia」,False,,,False
142,シフト作成AIエージェント「Shift Agent」,https://zenn.dev/jacksen/articles/47e7c8e451669a,チーム: 新木場PJ,6,2,True,200,シフト作成AIエージェント「Shift Agent」📅,False,,,False
143,空間AIエージェント わらびくん,https://zenn.dev/mouri45/articles/0bccdc2be26513,個人,9,1,True,200,【AI Agent Hackathon】Apple Vison Proアプリ 空間AIエージェント わらびくんを作ってみた,False,,,False
144,Chat-MBTI,https://zenn.dev/oh80/articles/a2e7d01225105d,チーム: M-two,6,0,True,200,Chat-MBTI -チャットボットとの会話による性格診断ツール- (Agent Hackathon with Google Cloud),False,,,False
145,Smart Twin Room,https://zenn.dev/yumabo/articles/21cf9234d07328,個人,11,3,True,200,Smart Twin Room ～誰もがAIデジタルツインを持つ世の中へ～,True,🏅 Tech Deep Dive賞,ECサイトとデジタルツインを組み合わせ、AIエージェントを活用し購買体験を向上させる先進的なアイデアが高く評価されました。「家具を揃える」という具体的なミッションに対し、単なる商品検索に留まらない包括的な購買体験を設計し、そこにAIが自然に溶け込んでいる点が特に素晴らしいです。Three.jsによるUIやクラウド技術を駆使し、このユニークな着眼点を高いレベルで実現する技術力も見事でした。ECへの本格展開が実現すれば、最適な消費体験から物流にまで好影響を与えうる、技術で未来を切り開くAIの大きな可能性を感じさせるプロジェクトです。,True
146,UltraSoulMatch.ai,https://zenn.dev/teba_eleven/articles/5dbaabf3047e25,チーム: Tru-S3,14,0,True,200,あなたを調べ上げて最高のエンジニア仲間を見つける！：UltraSoulMatch.ai,False,,,False
147,Realingo,https://zenn.dev/naoto000/articles/d92ffc77b6761a,個人,,,False,HTTP 403,【Realingo】あなたや友達のストーリーを教材に！SNS型AI語学アプリ,False,,,False
148,PRNews,https://zenn.dev/k_r_programing/articles/77cb5f2fd062dc,チーム: 神山ブラザーズ,2,0,True,200,PRNews,False,,,False
149,おすすめ居住エリア診断アプリ,https://zenn.dev/shoma_inv/articles/b09ee383350bc2,チーム: チーム不動産Lovers,2,0,True,200,【おすすめ居住エリア診断アプリ】都内の住む場所をAIエージェントが提案,False,,,False
150,Sticker Atelier,https://zenn.dev/zaic_master/articles/a691cfa42bf905,個人,2,0,True,200,AIスタンプ共同制作アプリ「Sticker Atelier」で、友人との思い出を形に。,False,,,False
151,おまかせダイアリー,https://zenn.dev/kennr/articles/e757723aaf09ea,チーム: チームけんたく,9,0,True,200,【AI Agentハッカソン】GeminiとADKで創る、親子の物語自動生成AI「おまかせダイアリー」,False,,,False
152,WhatWeTalked,https://zenn.dev/gdgoc_osaka/articles/ae5b89e170b2f3,チーム: GDG on Campus Osaka,9,1,True,200,「記憶に頼らない接客」でリピーター獲得を支えるAI接客支援システム WhatWeTalked,False,,,False
153,学校だよりAI,https://zenn.dev/gakkoudayoriai/articles/d7c61ec828913d,チーム: わきAIAI@AI木曜会,81,25,True,200,【学校だよりAI】なくならない “紙” 文化｡それなら「今」を照らそう｡AIと｡,True,2位,データを用いた定量的な議論をベースに課題の提起がなされており、この製品の必要性が伝わってきました。教育現場の具体的な業務に着目し、用途を絞り込むことで高い実用性が実現されています。仮説を立てて開発するだけでなく、実際に教師の方に使ってもらってフィードバックを得ている点も非常に良かったです。Flutterアプリの作り込みも評価しました。,True
154,QA3,https://zenn.dev/and_dot/articles/7e054d7769835d,チーム: QA3開発チーム,,,False,HTTP 403,,False,,,False
155,あなたのインフルエンサー,https://zenn.dev/karamiso/articles/d77beddb96aab6,個人,3,0,True,200,「あなたのインフルエンサー」 自分だけのインフルエンサーをAIで作ろう！,False,,,False
156,珈琲焙煎ロガー：Artizen,https://zenn.dev/k223tech/articles/artizen-logger-ai-hackathon-vol2,個人,1,0,True,200,珈琲焙煎ロガー：Artizen - バイブコーディングで開発！,False,,,False
157,Location Insights AI住環境分析システム,https://zenn.dev/tenyyprn/articles/8f8245584dcbb2,個人,4,0,True,200,"""Google Cloud AIを活用した住環境分析システム 「Location Insights」の開発"" 🏠",False,,,False
158,AI人狼オンライン,https://zenn.dev/hamutaro_kun/articles/9413e193fd812e,個人,7,0,True,200,AI人狼オンライン：次世代マルチプレイヤーゲーム,False,,,False
